Day,Total Passengers,AvgPassengers,TotalTripDistance,AvgTripDistance,TotalFareAmount,AvgFareAmount,TotalExtraAmount,AvgExtraAmount,TotalMTATax,AvgMTATax,TotalTipAmount,AvgTipAmount,TotalTollsAmount,AvgTollsAmount,TotalTotalAmount,AvgTotalAmount,TotalNoOfTrips
2015-01-01 0:00,50721,1.83,77096.52,2.77,338327.63,12.17,13826,0.5,13865,0.5,36374.71,1.31,33,0,410675.49,14.78,"27790	"
2015-01-01 1:00,57268,1.84,93051.84,2.99,400689.91,12.9,15420,0.5,15470,0.5,44430.35,1.43,83,0,485324.18,15.62,"31071	"
2015-01-01 2:00,50381,1.83,86595.59,3.15,359378.89,13.07,13624.1,0.5,13669.5,0.5,41427.46,1.51,84,0,436370.92,15.87,"27494	"
2015-01-01 3:00,43092,1.81,78552.32,3.31,311517.3,13.12,11750,0.49,11788,0.5,33819.89,1.42,105,0,376040.49,15.84,"23746	"
2015-01-01 4:00,29979,1.8,58221.91,3.5,224432.91,13.48,8202,0.49,8246.5,0.5,22233.78,1.34,120,0.01,268189.54,16.11,"16644	"
2015-01-01 5:00,15208,1.74,33128.63,3.78,122658.58,14,4136.5,0.47,4334,0.49,10856.21,1.24,204,0.02,144788.79,16.53,"8759	"
2015-01-01 6:00,10367,1.66,23183.22,3.72,85054.76,13.65,45,0.01,3093,0.5,7213.01,1.16,101,0.02,97353.87,15.62,"6233	"
2015-01-01 7:00,9115,1.65,19728.78,3.57,72015.83,13.02,2,0,2750.5,0.5,6406.23,1.16,81,0.01,82901.66,14.99,"5532	"
2015-01-01 8:00,8487,1.65,16892.22,3.29,62724.68,12.22,1,0,2556,0.5,5731.16,1.12,28,0.01,72562.14,14.13,"5135	"
2015-01-01 9:00,11052,1.71,19406.07,3.01,73401.43,11.38,1.5,0,3211.5,0.5,6436.45,1,90,0.01,85057.28,13.18,"6452	"
2015-01-01 10:00,16385,1.76,25358.12,2.73,98928.02,10.65,0,0,4632.5,0.5,8791.53,0.95,119,0.01,115229.85,12.41,"9287	"
2015-01-01 11:00,23603,1.79,33009.86,2.51,133600.56,10.14,9,0,6574,0.5,12520.87,0.95,186,0.01,156815.63,11.9,"13177	"
2015-01-01 12:00,28176,1.79,39293.31,2.49,161158.02,10.23,0,0,7861,0.5,15286.52,0.97,76,0,189064.34,12,"15750	"
2015-01-01 13:00,29903,1.81,42292.21,2.56,171478.17,10.37,0.5,0,8247,0.5,16134.93,0.98,106,0.01,200890.8,12.15,"16531	"
2015-01-01 14:00,30451,1.8,42871.7,2.53,179712.39,10.63,1.5,0,8439,0.5,16483.46,0.97,238,0.01,209911.05,12.41,"16912	"
2015-01-01 15:00,30942,1.81,43409.91,2.54,182307.34,10.67,37.5,0,8523,0.5,16675.79,0.98,144,0.01,212768.43,12.45,"17086	"
2015-01-01 16:00,28858,1.84,39353.36,2.51,166144.26,10.61,1721.5,0.11,7812,0.5,15203.6,0.97,138,0.01,195686.56,12.49,"15664	"
2015-01-01 17:00,30080,1.81,40643.28,2.44,176036.31,10.57,1993,0.12,8317.5,0.5,15945.5,0.96,31,0,207282.61,12.44,"16661	"
2015-01-01 18:00,31469,1.82,40107.09,2.31,177965.61,10.27,1908,0.11,8649,0.5,16860.84,0.97,30,0,210574.05,12.15,"17325	"
2015-01-01 19:00,28893,1.81,37613.14,2.36,163256.04,10.25,2015,0.13,7957.5,0.5,16039.9,1.01,0,0,194014.74,12.18,"15927	"
2015-01-01 20:00,26012,1.82,37397.29,2.61,153009,10.68,7010.5,0.49,7159,0.5,15846.78,1.11,4,0,187296.78,13.07,"14329	"
2015-01-01 21:00,25801,1.82,36839.96,2.59,150388.29,10.59,7016,0.49,7081.5,0.5,15567.56,1.1,24,0,184309.35,12.98,"14197	"
2015-01-01 22:00,24371,1.8,36890.91,2.73,145687.25,10.77,6699.5,0.5,6760,0.5,15631.21,1.16,11,0,178816.86,13.22,"13531	"
2015-01-01 23:00,19807,1.78,33354.2,2.99,126938.21,11.38,5522.5,0.49,5566.5,0.5,13458.91,1.21,0,0,154811.72,13.87,"11158	"
2015-01-02 0:00,16045,1.77,28361.72,3.13,105733.4,11.66,4488,0.5,4523.5,0.5,11285.7,1.24,15,0,128745.3,14.2,"9065	"
2015-01-02 1:00,10655,1.72,18812.57,3.03,70928.76,11.43,3089,0.5,3095.5,0.5,7334.69,1.18,10,0,86309.85,13.91,"6205	"
2015-01-02 2:00,6984,1.76,12635.97,3.19,46867.2,11.82,1970,0.5,1975.5,0.5,4493.08,1.13,43,0.01,56529.58,14.26,"3964	"
2015-01-02 3:00,4899,1.75,9748.06,3.48,35759.11,12.75,1382.5,0.49,1391.5,0.5,3400.98,1.21,0,0,42770.19,15.25,"2805	"
2015-01-02 4:00,3986,1.69,9095.07,3.87,32630.44,13.87,1139,0.48,1163,0.49,2746.68,1.17,58,0.02,38438.37,16.34,"2352	"
2015-01-02 5:00,3686,1.56,8937.58,3.79,32364.44,13.73,1045,0.44,1163.5,0.49,3118.95,1.32,77,0.03,38471.49,16.32,"2358	"
2015-01-02 6:00,7840,1.52,14701.65,2.85,55965.97,10.84,28.5,0.01,2569,0.5,5743.76,1.11,100,0.02,65943.53,12.77,"5163	"
2015-01-02 7:00,12053,1.58,19371.06,2.55,76926.52,10.11,0.5,0,3791.5,0.5,8665.68,1.14,30,0,91676.2,12.05,"7608	"
2015-01-02 8:00,16961,1.63,24938.5,2.4,103942.42,10.01,3,0,5183.5,0.5,12346.71,1.19,29,0,124592.93,12,"10384	"
2015-01-02 9:00,21082,1.68,29885.29,2.38,126556.31,10.08,10,0,6267,0.5,12929.65,1.03,51,0,149542.96,11.91,"12555	"
2015-01-02 10:00,24723,1.72,33183.54,2.31,146044.85,10.18,4.5,0,7166.5,0.5,13202.13,0.92,59,0,170742.08,11.9,"14350	"
2015-01-02 11:00,27959,1.73,35737.17,2.21,164283.46,10.14,2,0,8086.5,0.5,14815.58,0.91,108,0.01,192123.14,11.86,"16201	"
2015-01-02 12:00,31638,1.73,40295.47,2.2,186075.38,10.17,1,0,9129.5,0.5,17090.74,0.93,126,0.01,217872.42,11.9,"18302	"
2015-01-02 13:00,31538,1.74,40201.3,2.22,186862.29,10.32,4,0,9039.5,0.5,17180.06,0.95,82,0,218560.73,12.07,"18109	"
2015-01-02 14:00,33237,1.75,43662.38,2.3,202269.44,10.64,9.5,0,9476.5,0.5,18404.75,0.97,216,0.01,236036.74,12.42,"19008	"
2015-01-02 15:00,33588,1.76,43842.18,2.29,205675.84,10.76,916,0.05,9529,0.5,18658.63,0.98,113,0.01,240589.29,12.59,"19117	"
2015-01-02 16:00,30287,1.76,39446.45,2.29,185372.6,10.78,16747,0.97,8577.5,0.5,18566.15,1.08,67,0,234453.35,13.63,"17197	"
2015-01-02 17:00,35201,1.78,44347.88,2.25,213275.76,10.8,19567,0.99,9857,0.5,21806.76,1.1,51,0,270440.82,13.69,"19754	"
2015-01-02 18:00,39354,1.78,48562.29,2.2,231712.22,10.47,21918,0.99,11046,0.5,24910.49,1.13,41,0,296233.41,13.39,"22122	"
2015-01-02 19:00,40561,1.8,49312.73,2.19,238223.23,10.58,21855,0.97,11246.5,0.5,26447.92,1.17,46,0,304527.55,13.52,"22520	"
2015-01-02 20:00,34674,1.79,47148.94,2.43,209521.55,10.81,9766.05,0.5,9679,0.5,23124.66,1.19,19,0,257887.06,13.3,"19388	"
2015-01-02 21:00,33559,1.78,47702.47,2.52,204074.08,10.79,9370,0.5,9438.5,0.5,22498.59,1.19,34,0,251057.37,13.28,"18905	"
2015-01-02 22:00,38040,1.8,53294.22,2.53,227774.35,10.8,10477,0.5,10531,0.5,25682.24,1.22,18,0,280781.61,13.31,"21089	"
2015-01-02 23:00,36749,1.8,55970.63,2.74,229965.71,11.27,10127.5,0.5,10188,0.5,26553.94,1.3,11,0,282953.23,13.86,"20413	"
2015-01-03 0:00,33991,1.78,53779.01,2.82,215759.94,11.33,9455,0.5,9507,0.5,25352.91,1.33,19,0,265778.15,13.95,"19050	"
2015-01-03 1:00,29404,1.79,47301.33,2.88,186967.08,11.37,8169,0.5,8196.5,0.5,22966.18,1.4,24,0,231221.91,14.07,"16438	"
2015-01-03 2:00,24068,1.79,39938.54,2.97,156129.24,11.62,6662.3,0.5,6685.5,0.5,18568.61,1.38,46,0,192097.85,14.3,"13435	"
2015-01-03 3:00,18706,1.8,33564.05,3.23,127973.09,12.3,5147,0.49,5173.5,0.5,14630.02,1.41,25,0,156050.61,15,"10404	"
2015-01-03 4:00,11836,1.75,24393.03,3.61,89886.81,13.29,3333,0.49,3355,0.5,8757.4,1.3,116,0.02,107467.81,15.9,"6761	"
2015-01-03 5:00,5162,1.69,13262.4,4.34,47163,15.44,1393.5,0.46,1513,0.5,4245.61,1.39,73,0.02,55297.11,18.11,"3054	"
2015-01-03 6:00,5522,1.53,14060.73,3.91,50692.9,14.09,19,0.01,1780,0.49,4712.94,1.31,271,0.08,58550.26,16.27,"3598	"
2015-01-03 7:00,7497,1.6,15009.73,3.2,56155.88,11.96,0,0,2338,0.5,5543.93,1.18,75,0.02,65515.31,13.95,"4697	"
2015-01-03 8:00,12108,1.64,20685.98,2.8,80266.41,10.85,0,0,3685,0.5,8027.5,1.09,583,0.08,94766.01,12.81,"7395	"
2015-01-03 9:00,19190,1.7,27222.33,2.41,111037.73,9.85,0,0,5630.5,0.5,10994.25,0.98,11,0,131033.78,11.62,"11275	"
2015-01-03 10:00,24669,1.73,33494.52,2.34,140455.63,9.83,0,0,7132,0.5,13552.19,0.95,101,0.01,165502.56,11.59,"14284	"
2015-01-03 11:00,30219,1.75,39289.98,2.28,171049.2,9.92,1.5,0,8614.5,0.5,16959.28,0.98,35,0,201808.98,11.7,"17247	"
2015-01-03 12:00,36801,1.76,44418.04,2.13,205227.03,9.82,1,0,10432,0.5,20491.35,0.98,146,0.01,242542.68,11.61,"20898	"
2015-01-03 13:00,41348,1.8,47098.14,2.05,229947.36,10.03,0.5,0,11455,0.5,22301.22,0.97,98,0,270654.68,11.8,"22934	"
2015-01-03 14:00,41072,1.78,49185.29,2.13,232044.02,10.05,0.5,0,11530.5,0.5,23482.93,1.02,174,0.01,274125.36,11.87,"23099	"
2015-01-03 15:00,39804,1.77,48050.38,2.14,222854.23,9.92,14.5,0,11208.5,0.5,22223.62,0.99,133,0.01,263140.25,11.71,"22462	"
2015-01-03 16:00,34761,1.79,42442.19,2.18,196003.77,10.08,259.5,0.01,9705,0.5,20057.55,1.03,43,0,231878.22,11.92,"19446	"
2015-01-03 17:00,38172,1.78,46232.33,2.16,215483.48,10.05,328.5,0.02,10704.5,0.5,22206.9,1.04,87,0,255209.13,11.9,"21448	"
2015-01-03 18:00,43462,1.78,50906.49,2.09,242650.71,9.95,330,0.01,12171.5,0.5,26006.46,1.07,15,0,288447.77,11.83,"24376	"
2015-01-03 19:00,44975,1.8,52392.23,2.1,255342.17,10.21,837,0.03,12481.5,0.5,27092.15,1.08,38,0,303259.32,12.13,"25002	"
2015-01-03 20:00,35691,1.8,45768.04,2.31,201984.12,10.18,9710.5,0.49,9908,0.5,23563.92,1.19,6,0,251106.75,12.65,"19848	"
2015-01-03 21:00,37128,1.79,48844.44,2.35,212053.07,10.2,10313.5,0.5,10382.5,0.5,24597.67,1.18,15,0,263570.04,12.67,"20796	"
2015-01-03 22:00,38922,1.8,55088.04,2.54,231959.74,10.71,10744.5,0.5,10812.5,0.5,27413.49,1.27,56,0,287452.73,13.27,"21657	"
2015-01-03 23:00,39493,1.79,59552.15,2.69,245349.74,11.1,10969.5,0.5,11038.5,0.5,29800.15,1.35,30,0,303786.99,13.74,"22110	"
2015-01-04 0:00,35624,1.77,56830.38,2.83,227166.36,11.3,9970,0.5,10027.5,0.5,27848.03,1.39,0,0,281013.24,13.98,"20098	"
2015-01-04 1:00,30377,1.77,51303.55,2.99,199713.15,11.64,8510.5,0.5,8561,0.5,24862.77,1.45,13,0,246782.92,14.38,"17161	"
2015-01-04 2:00,23252,1.75,40367.14,3.04,155948.2,11.74,6589.5,0.5,6613.5,0.5,19202.73,1.45,81,0.01,192395.83,14.49,"13282	"
2015-01-04 3:00,16986,1.76,31467.29,3.25,118810.72,12.28,4790.5,0.5,4811,0.5,13913.75,1.44,21,0,145239.87,15.01,"9674	"
2015-01-04 4:00,10631,1.73,22195.74,3.62,82597.07,13.48,3011,0.49,3038,0.5,8194.8,1.34,54,0.01,98723.07,16.11,"6128	"
2015-01-04 5:00,4906,1.64,12616.56,4.23,45829,15.36,1354.5,0.45,1474.5,0.49,4042.14,1.36,26,0.01,53613.54,17.97,"2983	"
2015-01-04 6:00,4788,1.53,13896.49,4.44,47989.52,15.34,15,0,1552.5,0.5,4725.03,1.51,71,0.02,55286.35,17.67,"3129	"
