Day,Time,Trips
2015-01-01,00,28312
2015-01-01,01,31707
2015-01-01,02,28068
2015-01-01,03,24288
2015-01-01,04,17081
2015-01-01,05,9112
2015-01-01,06,6637
2015-01-01,07,6011
2015-01-01,08,5586
2015-01-01,09,6977
2015-01-01,10,9949
2015-01-01,11,13870
2015-01-01,12,16582
2015-01-01,13,17448
2015-01-01,14,17994
2015-01-01,15,18279
2015-01-01,16,16602
2015-01-01,17,17511
2015-01-01,18,18082
2015-01-01,19,16485
2015-01-01,20,15017
2015-01-01,21,14801
2015-01-01,22,14005
2015-01-01,23,11610
2015-01-02,00,9388
2015-01-02,01,6291
2015-01-02,02,4027
2015-01-02,03,2905
2015-01-02,04,2626
2015-01-02,05,2755
2015-01-02,06,5811
2015-01-02,07,8256
2015-01-02,08,10946
2015-01-02,09,13373
2015-01-02,10,15243
2015-01-02,11,16999
2015-01-02,12,19252
2015-01-02,13,19023
2015-01-02,14,20260
2015-01-02,15,20429
2015-01-02,16,18223
2015-01-02,17,20680
2015-01-02,18,23008
2015-01-02,19,23227
2015-01-02,20,20153
2015-01-02,21,19611
2015-01-02,22,21722
2015-01-02,23,21088
2015-01-03,00,19467
2015-01-03,01,16660
2015-01-03,02,13607
2015-01-03,03,10620
2015-01-03,04,7061
2015-01-03,05,3512
2015-01-03,06,4120
2015-01-03,07,5216
2015-01-03,08,7908
2015-01-03,09,11869
2015-01-03,10,14975
2015-01-03,11,17966
2015-01-03,12,21644
2015-01-03,13,23718
2015-01-03,14,24143
2015-01-03,15,23494
2015-01-03,16,20350
2015-01-03,17,22295
2015-01-03,18,25305
2015-01-03,19,25667
2015-01-03,20,20531
2015-01-03,21,21399
2015-01-03,22,22409
2015-01-03,23,22833
2015-01-04,00,20632
2015-01-04,01,17494
2015-01-04,02,13485
2015-01-04,03,9842
2015-01-04,04,6384
2015-01-04,05,3365
2015-01-04,06,3625
2015-01-04,07,4734
2015-01-04,08,7070
2015-01-04,09,10153
2015-01-04,10,14304
2015-01-04,11,16325
2015-01-04,12,18101
2015-01-04,13,18639
2015-01-04,14,18722
2015-01-04,15,18234
2015-01-04,16,18056
2015-01-04,17,18257
2015-01-04,18,18498
2015-01-04,19,18494
2015-01-04,20,17529
2015-01-04,21,14063
2015-01-04,22,12639
2015-01-04,23,10203
2015-01-05,00,7653
2015-01-05,01,4685
2015-01-05,02,3076
2015-01-05,03,2071
2015-01-05,04,2310
2015-01-05,05,4218
2015-01-05,06,11095
2015-01-05,07,18866
2015-01-05,08,22131
2015-01-05,09,19602
2015-01-05,10,16290
2015-01-05,11,16428
2015-01-05,12,17022
2015-01-05,13,17127
2015-01-05,14,18916
2015-01-05,15,19897
2015-01-05,16,17718
2015-01-05,17,21727
2015-01-05,18,26144
2015-01-05,19,25655
2015-01-05,20,22028
2015-01-05,21,19814
2015-01-05,22,16256
2015-01-05,23,12725
2015-01-06,00,8457
2015-01-06,01,4968
2015-01-06,02,3107
2015-01-06,03,1976
2015-01-06,04,2159
2015-01-06,05,4083
2015-01-06,06,11366
2015-01-06,07,20044
2015-01-06,08,24491
2015-01-06,09,21343
2015-01-06,10,17697
2015-01-06,11,17191
2015-01-06,12,17987
2015-01-06,13,17464
2015-01-06,14,19314
2015-01-06,15,19604
2015-01-06,16,17538
2015-01-06,17,21171
2015-01-06,18,26845
2015-01-06,19,26026
2015-01-06,20,24401
2015-01-06,21,23308
2015-01-06,22,19331
2015-01-06,23,14453
2015-01-07,00,9190
2015-01-07,01,5580
2015-01-07,02,3331
2015-01-07,03,2282
2015-01-07,04,2296
2015-01-07,05,3900
2015-01-07,06,11458
2015-01-07,07,20908
2015-01-07,08,25759
2015-01-07,09,23237
2015-01-07,10,19681
2015-01-07,11,19492
2015-01-07,12,20325
2015-01-07,13,20469
2015-01-07,14,21766
2015-01-07,15,21441
2015-01-07,16,19067
2015-01-07,17,23561
2015-01-07,18,29597
2015-01-07,19,30512
2015-01-07,20,27882
2015-01-07,21,27163
2015-01-07,22,24117
2015-01-07,23,16639
2015-01-08,00,10430
2015-01-08,01,6034
2015-01-08,02,3606
2015-01-08,03,2444
2015-01-08,04,2266
2015-01-08,05,4016
2015-01-08,06,12079
2015-01-08,07,22534
2015-01-08,08,27142
2015-01-08,09,24633
2015-01-08,10,21183
2015-01-08,11,20198
2015-01-08,12,20955
2015-01-08,13,20408
2015-01-08,14,22304
2015-01-08,15,22869
2015-01-08,16,19145
2015-01-08,17,23738
2015-01-08,18,29732
2015-01-08,19,30515
2015-01-08,20,28953
2015-01-08,21,28159
2015-01-08,22,26724
2015-01-08,23,20853
2015-01-09,00,13948
2015-01-09,01,8392
2015-01-09,02,5515
2015-01-09,03,3713
2015-01-09,04,3028
2015-01-09,05,4201
2015-01-09,06,11302
2015-01-09,07,18011
2015-01-09,08,18895
2015-01-09,09,20194
2015-01-09,10,19100
2015-01-09,11,18731
2015-01-09,12,19817
2015-01-09,13,19811
2015-01-09,14,21706
2015-01-09,15,21485
2015-01-09,16,18628
2015-01-09,17,24055
2015-01-09,18,30655
2015-01-09,19,32571
2015-01-09,20,29015
2015-01-09,21,27733
2015-01-09,22,28687
2015-01-09,23,28754
2015-01-10,00,26586
2015-01-10,01,21782
2015-01-10,02,17535
2015-01-10,03,12487
2015-01-10,04,7673
2015-01-10,05,3856
2015-01-10,06,4797
2015-01-10,07,7676
2015-01-10,08,11425
2015-01-10,09,17546
2015-01-10,10,20906
2015-01-10,11,24645
2015-01-10,12,26936
2015-01-10,13,26292
2015-01-10,14,25200
2015-01-10,15,27145
2015-01-10,16,24870
2015-01-10,17,26401
2015-01-10,18,30966
2015-01-10,19,31396
2015-01-10,20,29979
2015-01-10,21,27413
2015-01-10,22,30186
2015-01-10,23,31842
2015-01-11,00,28873
2015-01-11,01,24937
2015-01-11,02,20440
2015-01-11,03,15274
2015-01-11,04,8943
2015-01-11,05,4036
2015-01-11,06,4174
2015-01-11,07,5816
2015-01-11,08,9165
2015-01-11,09,13808
2015-01-11,10,18480
2015-01-11,11,22110
2015-01-11,12,24286
2015-01-11,13,24336
2015-01-11,14,22636
2015-01-11,15,21937
2015-01-11,16,22216
2015-01-11,17,23176
2015-01-11,18,22971
2015-01-11,19,21060
2015-01-11,20,17356
2015-01-11,21,16315
2015-01-11,22,14489
2015-01-11,23,12795
2015-01-12,00,7691
2015-01-12,01,4265
2015-01-12,02,3040
2015-01-12,03,2295
2015-01-12,04,2319
2015-01-12,05,4281
2015-01-12,06,11556
2015-01-12,07,20218
2015-01-12,08,24227
2015-01-12,09,22719
2015-01-12,10,19871
2015-01-12,11,19553
2015-01-12,12,20790
2015-01-12,13,20182
2015-01-12,14,21747
2015-01-12,15,21430
2015-01-12,16,18041
2015-01-12,17,21610
2015-01-12,18,26327
2015-01-12,19,25520
2015-01-12,20,23628
2015-01-12,21,22215
2015-01-12,22,19296
2015-01-12,23,13546
2015-01-13,00,11061
2015-01-13,01,5511
2015-01-13,02,3448
2015-01-13,03,2160
2015-01-13,04,2251
2015-01-13,05,4113
2015-01-13,06,11627
2015-01-13,07,21863
2015-01-13,08,26062
2015-01-13,09,24479
2015-01-13,10,21986
2015-01-13,11,22052
2015-01-13,12,22747
2015-01-13,13,21910
2015-01-13,14,24020
2015-01-13,15,23270
2015-01-13,16,18907
2015-01-13,17,22734
2015-01-13,18,28884
2015-01-13,19,29790
2015-01-13,20,29236
2015-01-13,21,28619
2015-01-13,22,24574
2015-01-13,23,17213
2015-01-14,00,11076
2015-01-14,01,6499
2015-01-14,02,4133
2015-01-14,03,2973
2015-01-14,04,2739
2015-01-14,05,4486
2015-01-14,06,12082
2015-01-14,07,22311
2015-01-14,08,26221
2015-01-14,09,24625
2015-01-14,10,21281
2015-01-14,11,21003
2015-01-14,12,21599
2015-01-14,13,21099
2015-01-14,14,22582
2015-01-14,15,21614
2015-01-14,16,17849
2015-01-14,17,22232
2015-01-14,18,28517
2015-01-14,19,29482
2015-01-14,20,27266
2015-01-14,21,27429
2015-01-14,22,25341
2015-01-14,23,18217
2015-01-15,00,11389
2015-01-15,01,6785
2015-01-15,02,4246
2015-01-15,03,2901
2015-01-15,04,2679
2015-01-15,05,4380
2015-01-15,06,12016
2015-01-15,07,21875
2015-01-15,08,26056
2015-01-15,09,24517
2015-01-15,10,21128
2015-01-15,11,20268
2015-01-15,12,21440
2015-01-15,13,20628
2015-01-15,14,22373
2015-01-15,15,21715
2015-01-15,16,17706
2015-01-15,17,21760
2015-01-15,18,28060
2015-01-15,19,29867
