Date,Total Passengers,AvgPassengers,TotalTripDistance,AvgTripDistance,TotalFareAmount,AvgFareAmount,TotalExtraAmount,AvgExtraAmount,TotalMTATax,AvgMTATax,TotalTipAmount,AvgTipAmount,TotalTollsAmount,AvgTollsAmount,TotalTotalAmount,AvgTotalAmount,TotalNoOfTrips,Day
1/1/2015,660421,1.8,1034291.44,2.82,4236811.39,11.56,100942.6,0.28,182563.5,0.5,425376.65,1.16,2036,0.01,5056737.13,13.8,366391,Thursday
1/2/2015,575299,1.75,799195.12,2.43,3518805.33,10.7,133920.05,0.41,164114.5,0.5,361008.52,1.1,1404,0,4277279.2,13,328934,Friday
1/3/2015,694001,1.77,951979.39,2.43,4124436.35,10.53,77689.8,0.2,195440.5,0.5,443548.23,1.13,2220,0.01,4960264.26,12.66,391714,Saturday
1/4/2015,531441,1.72,840086.11,2.71,3426049.03,11.06,60489.2,0.2,154478,0.5,387573.21,1.25,1481,0,4122610.88,13.31,309846,Sunday
1/5/2015,564583,1.65,826494.99,2.41,3618776.33,10.56,130209.53,0.38,171027.5,0.5,429035.71,1.25,1249,0,4452699.47,12.99,342840,Monday
1/6/2015,603433,1.64,831741.45,2.26,3893241.74,10.59,137944.76,0.38,183392,0.5,485024.52,1.32,1610,0,4811082.11,13.09,367676,Tuesday
1/7/2015,678840,1.64,920477.51,2.23,4293014.52,10.39,156710.2,0.38,206037,0.5,546306.58,1.32,1662,0,5327208.29,12.9,412994,Wednesday
1/8/2015,713531,1.65,961903.86,2.23,4552372.22,10.53,161801.75,0.37,215651,0.5,589446.17,1.36,1291,0,5649825.07,13.07,432281,Thursday
1/9/2015,715002,1.67,975776.11,2.27,4637558.59,10.8,173712.39,0.4,214165.5,0.5,590287.58,1.38,1410,0,5745582.74,13.39,429234,Friday
1/10/2015,866240,1.73,1159592.58,2.32,5247816.47,10.49,103470,0.21,249630.5,0.5,641436.67,1.28,1049,0,6393153.24,12.78,500294,Saturday
1/11/2015,684327,1.71,1013074.88,2.53,4272138.31,10.69,79940.8,0.2,199386.5,0.5,528256.48,1.32,1382,0,5200739.01,13.01,399699,Sunday
1/12/2015,614222,1.63,852968.73,2.27,3965390.09,10.54,134825.53,0.36,187711,0.5,512027.99,1.36,1007,0,4913612.66,13.06,376215,Monday
1/13/2015,700922,1.64,948278.76,2.21,4549272.49,10.62,156522.06,0.37,213700,0.5,604312.4,1.41,1415,0,5653423.44,13.2,428339,Tuesday
