2015-01-01 00,50721,1.83,77096.52,2.77,338327.63,12.17,13826.00,0.50,13865.00,0.50,36374.71,1.31,33.00,0.00,410675.49,14.78,27790	
2015-01-01 01,57268,1.84,93051.84,2.99,400689.91,12.90,15420.00,0.50,15470.00,0.50,44430.35,1.43,83.00,0.00,485324.18,15.62,31071	
2015-01-01 02,50381,1.83,86595.59,3.15,359378.89,13.07,13624.10,0.50,13669.50,0.50,41427.46,1.51,84.00,0.00,436370.92,15.87,27494	
2015-01-01 03,43092,1.81,78552.32,3.31,311517.30,13.12,11750.00,0.49,11788.00,0.50,33819.89,1.42,105.00,0.00,376040.49,15.84,23746	
2015-01-01 04,29979,1.80,58221.91,3.50,224432.91,13.48,8202.00,0.49,8246.50,0.50,22233.78,1.34,120.00,0.01,268189.54,16.11,16644	
2015-01-01 05,15208,1.74,33128.63,3.78,122658.58,14.00,4136.50,0.47,4334.00,0.49,10856.21,1.24,204.00,0.02,144788.79,16.53,8759	
2015-01-01 06,10367,1.66,23183.22,3.72,85054.76,13.65,45.00,0.01,3093.00,0.50,7213.01,1.16,101.00,0.02,97353.87,15.62,6233	
2015-01-01 07,9115,1.65,19728.78,3.57,72015.83,13.02,2.00,0.00,2750.50,0.50,6406.23,1.16,81.00,0.01,82901.66,14.99,5532	
2015-01-01 08,8487,1.65,16892.22,3.29,62724.68,12.22,1.00,0.00,2556.00,0.50,5731.16,1.12,28.00,0.01,72562.14,14.13,5135	
2015-01-01 09,11052,1.71,19406.07,3.01,73401.43,11.38,1.50,0.00,3211.50,0.50,6436.45,1.00,90.00,0.01,85057.28,13.18,6452	
2015-01-01 10,16385,1.76,25358.12,2.73,98928.02,10.65,0.00,0.00,4632.50,0.50,8791.53,0.95,119.00,0.01,115229.85,12.41,9287	
2015-01-01 11,23603,1.79,33009.86,2.51,133600.56,10.14,9.00,0.00,6574.00,0.50,12520.87,0.95,186.00,0.01,156815.63,11.90,13177	
2015-01-01 12,28176,1.79,39293.31,2.49,161158.02,10.23,0.00,0.00,7861.00,0.50,15286.52,0.97,76.00,0.00,189064.34,12.00,15750	
2015-01-01 13,29903,1.81,42292.21,2.56,171478.17,10.37,0.50,0.00,8247.00,0.50,16134.93,0.98,106.00,0.01,200890.80,12.15,16531	
2015-01-01 14,30451,1.80,42871.70,2.53,179712.39,10.63,1.50,0.00,8439.00,0.50,16483.46,0.97,238.00,0.01,209911.05,12.41,16912	
2015-01-01 15,30942,1.81,43409.91,2.54,182307.34,10.67,37.50,0.00,8523.00,0.50,16675.79,0.98,144.00,0.01,212768.43,12.45,17086	
2015-01-01 16,28858,1.84,39353.36,2.51,166144.26,10.61,1721.50,0.11,7812.00,0.50,15203.60,0.97,138.00,0.01,195686.56,12.49,15664	
2015-01-01 17,30080,1.81,40643.28,2.44,176036.31,10.57,1993.00,0.12,8317.50,0.50,15945.50,0.96,31.00,0.00,207282.61,12.44,16661	
2015-01-01 18,31469,1.82,40107.09,2.31,177965.61,10.27,1908.00,0.11,8649.00,0.50,16860.84,0.97,30.00,0.00,210574.05,12.15,17325	
2015-01-01 19,28893,1.81,37613.14,2.36,163256.04,10.25,2015.00,0.13,7957.50,0.50,16039.90,1.01,0.00,0.00,194014.74,12.18,15927	
2015-01-01 20,26012,1.82,37397.29,2.61,153009.00,10.68,7010.50,0.49,7159.00,0.50,15846.78,1.11,4.00,0.00,187296.78,13.07,14329	
2015-01-01 21,25801,1.82,36839.96,2.59,150388.29,10.59,7016.00,0.49,7081.50,0.50,15567.56,1.10,24.00,0.00,184309.35,12.98,14197	
2015-01-01 22,24371,1.80,36890.91,2.73,145687.25,10.77,6699.50,0.50,6760.00,0.50,15631.21,1.16,11.00,0.00,178816.86,13.22,13531	
2015-01-01 23,19807,1.78,33354.20,2.99,126938.21,11.38,5522.50,0.49,5566.50,0.50,13458.91,1.21,0.00,0.00,154811.72,13.87,11158	
2015-01-02 00,16045,1.77,28361.72,3.13,105733.40,11.66,4488.00,0.50,4523.50,0.50,11285.70,1.24,15.00,0.00,128745.30,14.20,9065	
2015-01-02 01,10655,1.72,18812.57,3.03,70928.76,11.43,3089.00,0.50,3095.50,0.50,7334.69,1.18,10.00,0.00,86309.85,13.91,6205	
2015-01-02 02,6984,1.76,12635.97,3.19,46867.20,11.82,1970.00,0.50,1975.50,0.50,4493.08,1.13,43.00,0.01,56529.58,14.26,3964	
2015-01-02 03,4899,1.75,9748.06,3.48,35759.11,12.75,1382.50,0.49,1391.50,0.50,3400.98,1.21,0.00,0.00,42770.19,15.25,2805	
2015-01-02 04,3986,1.69,9095.07,3.87,32630.44,13.87,1139.00,0.48,1163.00,0.49,2746.68,1.17,58.00,0.02,38438.37,16.34,2352	
2015-01-02 05,3686,1.56,8937.58,3.79,32364.44,13.73,1045.00,0.44,1163.50,0.49,3118.95,1.32,77.00,0.03,38471.49,16.32,2358	
2015-01-02 06,7840,1.52,14701.65,2.85,55965.97,10.84,28.50,0.01,2569.00,0.50,5743.76,1.11,100.00,0.02,65943.53,12.77,5163	
2015-01-02 07,12053,1.58,19371.06,2.55,76926.52,10.11,0.50,0.00,3791.50,0.50,8665.68,1.14,30.00,0.00,91676.20,12.05,7608	
2015-01-02 08,16961,1.63,24938.50,2.40,103942.42,10.01,3.00,0.00,5183.50,0.50,12346.71,1.19,29.00,0.00,124592.93,12.00,10384	
2015-01-02 09,21082,1.68,29885.29,2.38,126556.31,10.08,10.00,0.00,6267.00,0.50,12929.65,1.03,51.00,0.00,149542.96,11.91,12555	
2015-01-02 10,24723,1.72,33183.54,2.31,146044.85,10.18,4.50,0.00,7166.50,0.50,13202.13,0.92,59.00,0.00,170742.08,11.90,14350	
2015-01-02 11,27959,1.73,35737.17,2.21,164283.46,10.14,2.00,0.00,8086.50,0.50,14815.58,0.91,108.00,0.01,192123.14,11.86,16201	
2015-01-02 12,31638,1.73,40295.47,2.20,186075.38,10.17,1.00,0.00,9129.50,0.50,17090.74,0.93,126.00,0.01,217872.42,11.90,18302	
2015-01-02 13,31538,1.74,40201.30,2.22,186862.29,10.32,4.00,0.00,9039.50,0.50,17180.06,0.95,82.00,0.00,218560.73,12.07,18109	
2015-01-02 14,33237,1.75,43662.38,2.30,202269.44,10.64,9.50,0.00,9476.50,0.50,18404.75,0.97,216.00,0.01,236036.74,12.42,19008	
2015-01-02 15,33588,1.76,43842.18,2.29,205675.84,10.76,916.00,0.05,9529.00,0.50,18658.63,0.98,113.00,0.01,240589.29,12.59,19117	
2015-01-02 16,30287,1.76,39446.45,2.29,185372.60,10.78,16747.00,0.97,8577.50,0.50,18566.15,1.08,67.00,0.00,234453.35,13.63,17197	
2015-01-02 17,35201,1.78,44347.88,2.25,213275.76,10.80,19567.00,0.99,9857.00,0.50,21806.76,1.10,51.00,0.00,270440.82,13.69,19754	
2015-01-02 18,39354,1.78,48562.29,2.20,231712.22,10.47,21918.00,0.99,11046.00,0.50,24910.49,1.13,41.00,0.00,296233.41,13.39,22122	
2015-01-02 19,40561,1.80,49312.73,2.19,238223.23,10.58,21855.00,0.97,11246.50,0.50,26447.92,1.17,46.00,0.00,304527.55,13.52,22520	
2015-01-02 20,34674,1.79,47148.94,2.43,209521.55,10.81,9766.05,0.50,9679.00,0.50,23124.66,1.19,19.00,0.00,257887.06,13.30,19388	
2015-01-02 21,33559,1.78,47702.47,2.52,204074.08,10.79,9370.00,0.50,9438.50,0.50,22498.59,1.19,34.00,0.00,251057.37,13.28,18905	
2015-01-02 22,38040,1.80,53294.22,2.53,227774.35,10.80,10477.00,0.50,10531.00,0.50,25682.24,1.22,18.00,0.00,280781.61,13.31,21089	
2015-01-02 23,36749,1.80,55970.63,2.74,229965.71,11.27,10127.50,0.50,10188.00,0.50,26553.94,1.30,11.00,0.00,282953.23,13.86,20413	
2015-01-03 00,33991,1.78,53779.01,2.82,215759.94,11.33,9455.00,0.50,9507.00,0.50,25352.91,1.33,19.00,0.00,265778.15,13.95,19050	
2015-01-03 01,29404,1.79,47301.33,2.88,186967.08,11.37,8169.00,0.50,8196.50,0.50,22966.18,1.40,24.00,0.00,231221.91,14.07,16438	
2015-01-03 02,24068,1.79,39938.54,2.97,156129.24,11.62,6662.30,0.50,6685.50,0.50,18568.61,1.38,46.00,0.00,192097.85,14.30,13435	
2015-01-03 03,18706,1.80,33564.05,3.23,127973.09,12.30,5147.00,0.49,5173.50,0.50,14630.02,1.41,25.00,0.00,156050.61,15.00,10404	
2015-01-03 04,11836,1.75,24393.03,3.61,89886.81,13.29,3333.00,0.49,3355.00,0.50,8757.40,1.30,116.00,0.02,107467.81,15.90,6761	
2015-01-03 05,5162,1.69,13262.40,4.34,47163.00,15.44,1393.50,0.46,1513.00,0.50,4245.61,1.39,73.00,0.02,55297.11,18.11,3054	
2015-01-03 06,5522,1.53,14060.73,3.91,50692.90,14.09,19.00,0.01,1780.00,0.49,4712.94,1.31,271.00,0.08,58550.26,16.27,3598	
2015-01-03 07,7497,1.60,15009.73,3.20,56155.88,11.96,0.00,0.00,2338.00,0.50,5543.93,1.18,75.00,0.02,65515.31,13.95,4697	
2015-01-03 08,12108,1.64,20685.98,2.80,80266.41,10.85,0.00,0.00,3685.00,0.50,8027.50,1.09,583.00,0.08,94766.01,12.81,7395	
2015-01-03 09,19190,1.70,27222.33,2.41,111037.73,9.85,0.00,0.00,5630.50,0.50,10994.25,0.98,11.00,0.00,131033.78,11.62,11275	
2015-01-03 10,24669,1.73,33494.52,2.34,140455.63,9.83,0.00,0.00,7132.00,0.50,13552.19,0.95,101.00,0.01,165502.56,11.59,14284	
2015-01-03 11,30219,1.75,39289.98,2.28,171049.20,9.92,1.50,0.00,8614.50,0.50,16959.28,0.98,35.00,0.00,201808.98,11.70,17247	
2015-01-03 12,36801,1.76,44418.04,2.13,205227.03,9.82,1.00,0.00,10432.00,0.50,20491.35,0.98,146.00,0.01,242542.68,11.61,20898	
2015-01-03 13,41348,1.80,47098.14,2.05,229947.36,10.03,0.50,0.00,11455.00,0.50,22301.22,0.97,98.00,0.00,270654.68,11.80,22934	
2015-01-03 14,41072,1.78,49185.29,2.13,232044.02,10.05,0.50,0.00,11530.50,0.50,23482.93,1.02,174.00,0.01,274125.36,11.87,23099	
2015-01-03 15,39804,1.77,48050.38,2.14,222854.23,9.92,14.50,0.00,11208.50,0.50,22223.62,0.99,133.00,0.01,263140.25,11.71,22462	
2015-01-03 16,34761,1.79,42442.19,2.18,196003.77,10.08,259.50,0.01,9705.00,0.50,20057.55,1.03,43.00,0.00,231878.22,11.92,19446	
2015-01-03 17,38172,1.78,46232.33,2.16,215483.48,10.05,328.50,0.02,10704.50,0.50,22206.90,1.04,87.00,0.00,255209.13,11.90,21448	
2015-01-03 18,43462,1.78,50906.49,2.09,242650.71,9.95,330.00,0.01,12171.50,0.50,26006.46,1.07,15.00,0.00,288447.77,11.83,24376	
2015-01-03 19,44975,1.80,52392.23,2.10,255342.17,10.21,837.00,0.03,12481.50,0.50,27092.15,1.08,38.00,0.00,303259.32,12.13,25002	
2015-01-03 20,35691,1.80,45768.04,2.31,201984.12,10.18,9710.50,0.49,9908.00,0.50,23563.92,1.19,6.00,0.00,251106.75,12.65,19848	
2015-01-03 21,37128,1.79,48844.44,2.35,212053.07,10.20,10313.50,0.50,10382.50,0.50,24597.67,1.18,15.00,0.00,263570.04,12.67,20796	
2015-01-03 22,38922,1.80,55088.04,2.54,231959.74,10.71,10744.50,0.50,10812.50,0.50,27413.49,1.27,56.00,0.00,287452.73,13.27,21657	
2015-01-03 23,39493,1.79,59552.15,2.69,245349.74,11.10,10969.50,0.50,11038.50,0.50,29800.15,1.35,30.00,0.00,303786.99,13.74,22110	
2015-01-04 00,35624,1.77,56830.38,2.83,227166.36,11.30,9970.00,0.50,10027.50,0.50,27848.03,1.39,0.00,0.00,281013.24,13.98,20098	
2015-01-04 01,30377,1.77,51303.55,2.99,199713.15,11.64,8510.50,0.50,8561.00,0.50,24862.77,1.45,13.00,0.00,246782.92,14.38,17161	
2015-01-04 02,23252,1.75,40367.14,3.04,155948.20,11.74,6589.50,0.50,6613.50,0.50,19202.73,1.45,81.00,0.01,192395.83,14.49,13282	
2015-01-04 03,16986,1.76,31467.29,3.25,118810.72,12.28,4790.50,0.50,4811.00,0.50,13913.75,1.44,21.00,0.00,145239.87,15.01,9674	
2015-01-04 04,10631,1.73,22195.74,3.62,82597.07,13.48,3011.00,0.49,3038.00,0.50,8194.80,1.34,54.00,0.01,98723.07,16.11,6128	
2015-01-04 05,4906,1.64,12616.56,4.23,45829.00,15.36,1354.50,0.45,1474.50,0.49,4042.14,1.36,26.00,0.01,53613.54,17.97,2983	
2015-01-04 06,4788,1.53,13896.49,4.44,47989.52,15.34,15.00,0.00,1552.50,0.50,4725.03,1.51,71.00,0.02,55286.35,17.67,3129	
2015-01-04 07,6553,1.56,14322.16,3.41,52558.32,12.50,0.00,0.00,2095.50,0.50,5367.40,1.28,0.00,0.00,61278.52,14.57,4205	
2015-01-04 08,10546,1.62,18364.07,2.82,71733.95,11.01,0.00,0.00,3248.50,0.50,7498.06,1.15,17.00,0.00,84442.41,12.96,6516	
2015-01-04 09,15711,1.66,23848.33,2.53,95294.34,10.10,0.50,0.00,4707.00,0.50,10260.97,1.09,34.00,0.00,113112.01,11.98,9439	
2015-01-04 10,22629,1.69,32882.23,2.45,134328.80,10.00,2.50,0.00,6701.00,0.50,14270.37,1.06,121.00,0.01,159432.27,11.87,13429	
2015-01-04 11,26437,1.71,36065.23,2.33,154105.19,9.96,3.50,0.00,7718.50,0.50,16458.33,1.06,22.00,0.00,182926.42,11.83,15466	
2015-01-04 12,29743,1.72,39210.60,2.27,170514.55,9.88,3.50,0.00,8608.00,0.50,18457.66,1.07,91.00,0.01,202830.83,11.76,17253	
2015-01-04 13,30340,1.72,40498.07,2.30,178935.63,10.15,5.00,0.00,8793.50,0.50,19668.42,1.12,71.00,0.00,212740.05,12.07,17631	
2015-01-04 14,30039,1.72,41556.16,2.38,185810.67,10.62,3.50,0.00,8721.00,0.50,20302.89,1.16,136.00,0.01,220200.96,12.59,17490	
2015-01-04 15,28981,1.73,40930.33,2.44,179141.94,10.67,15.00,0.00,8369.00,0.50,19736.32,1.18,173.00,0.01,212449.21,12.66,16785	
2015-01-04 16,28731,1.73,40909.33,2.46,177729.08,10.68,239.00,0.01,8292.50,0.50,20066.92,1.21,164.00,0.01,211461.52,12.71,16640	
2015-01-04 17,29468,1.73,42170.66,2.47,183083.64,10.73,264.50,0.02,8515.50,0.50,20427.65,1.20,141.00,0.01,217525.69,12.75,17067	
2015-01-04 18,29900,1.73,42486.46,2.46,184487.75,10.67,247.50,0.01,8628.50,0.50,21202.03,1.23,80.00,0.00,219809.38,12.71,17295	
2015-01-04 19,30123,1.72,42841.06,2.44,182852.54,10.42,702.50,0.04,8752.00,0.50,20627.50,1.18,45.00,0.00,218214.84,12.44,17543	
2015-01-04 20,28607,1.72,42193.10,2.54,175106.92,10.53,8093.20,0.49,8292.50,0.50,20930.51,1.26,50.00,0.00,217441.23,13.08,16623	
2015-01-04 21,22289,1.70,39106.02,2.98,151405.41,11.54,6453.50,0.49,6550.00,0.50,18294.18,1.39,20.00,0.00,186646.89,14.22,13122	
2015-01-04 22,19514,1.68,38437.73,3.32,142941.44,12.33,5686.00,0.49,5780.00,0.50,16966.00,1.46,32.00,0.00,174872.14,15.08,11594	
2015-01-04 23,15266,1.64,35587.42,3.83,127964.84,13.77,4528.50,0.49,4627.00,0.50,14248.75,1.53,18.00,0.00,154171.69,16.59,9293	
2015-01-05 00,11229,1.64,29494.62,4.32,102091.69,14.94,3316.50,0.49,3400.00,0.50,11378.12,1.66,6.00,0.00,122237.91,17.88,6835	
2015-01-05 01,6919,1.60,18519.51,4.29,64396.41,14.91,2081.00,0.48,2146.50,0.50,6928.95,1.60,0.00,0.00,76846.46,17.80,4318	
2015-01-05 02,4840,1.65,11668.62,3.98,41874.61,14.29,1429.00,0.49,1455.50,0.50,3945.29,1.35,7.00,0.00,49587.10,16.92,2930	
2015-01-05 03,3136,1.59,7148.50,3.61,26445.64,13.37,968.00,0.49,981.50,0.50,2245.44,1.14,11.00,0.01,31243.78,15.80,1978	
