Day,Trips
1/1/2015 0:00,27790
1/1/2015 1:00,31071
1/1/2015 2:00,27494
1/1/2015 3:00,23746
1/1/2015 4:00,16644
1/1/2015 5:00,8759
1/1/2015 6:00,6233
1/1/2015 7:00,5532
1/1/2015 8:00,5135
1/1/2015 9:00,6452
1/1/2015 10:00,9287
1/1/2015 11:00,13177
1/1/2015 12:00,15750
1/1/2015 13:00,16531
1/1/2015 14:00,16912
1/1/2015 15:00,17086
1/1/2015 16:00,15664
1/1/2015 17:00,16661
1/1/2015 18:00,17325
1/1/2015 19:00,15927
1/1/2015 20:00,14329
1/1/2015 21:00,14197
1/1/2015 22:00,13531
1/1/2015 23:00,11158
1/2/2015 0:00,9065
1/2/2015 1:00,6205
1/2/2015 2:00,3964
1/2/2015 3:00,2805
1/2/2015 4:00,2352
1/2/2015 5:00,2358
1/2/2015 6:00,5163
1/2/2015 7:00,7608
1/2/2015 8:00,10384
1/2/2015 9:00,12555
1/2/2015 10:00,14350
1/2/2015 11:00,16201
1/2/2015 12:00,18302
1/2/2015 13:00,18109
1/2/2015 14:00,19008
1/2/2015 15:00,19117
1/2/2015 16:00,17197
1/2/2015 17:00,19754
1/2/2015 18:00,22122
1/2/2015 19:00,22520
1/2/2015 20:00,19388
1/2/2015 21:00,18905
1/2/2015 22:00,21089
1/2/2015 23:00,20413
1/3/2015 0:00,19050
1/3/2015 1:00,16438
1/3/2015 2:00,13435
1/3/2015 3:00,10404
1/3/2015 4:00,6761
1/3/2015 5:00,3054
1/3/2015 6:00,3598
1/3/2015 7:00,4697
1/3/2015 8:00,7395
1/3/2015 9:00,11275
1/3/2015 10:00,14284
1/3/2015 11:00,17247
1/3/2015 12:00,20898
1/3/2015 13:00,22934
1/3/2015 14:00,23099
1/3/2015 15:00,22462
1/3/2015 16:00,19446
1/3/2015 17:00,21448
1/3/2015 18:00,24376
1/3/2015 19:00,25002
1/3/2015 20:00,19848
1/3/2015 21:00,20796
1/3/2015 22:00,21657
1/3/2015 23:00,22110
1/4/2015 0:00,20098
1/4/2015 1:00,17161
1/4/2015 2:00,13282
1/4/2015 3:00,9674
1/4/2015 4:00,6128
1/4/2015 5:00,2983
1/4/2015 6:00,3129
1/4/2015 7:00,4205
1/4/2015 8:00,6516
1/4/2015 9:00,9439
1/4/2015 10:00,13429
1/4/2015 11:00,15466
1/4/2015 12:00,17253
1/4/2015 13:00,17631
1/4/2015 14:00,17490
1/4/2015 15:00,16785
1/4/2015 16:00,16640
1/4/2015 17:00,17067
1/4/2015 18:00,17295
1/4/2015 19:00,17543
1/4/2015 20:00,16623
1/4/2015 21:00,13122
1/4/2015 22:00,11594
1/4/2015 23:00,9293
1/5/2015 0:00,6835
1/5/2015 1:00,4318
1/5/2015 2:00,2930
1/5/2015 3:00,1978
1/5/2015 4:00,2008
1/5/2015 5:00,3614
1/5/2015 6:00,10198
1/5/2015 7:00,17919
1/5/2015 8:00,21150
1/5/2015 9:00,18563
1/5/2015 10:00,15229
1/5/2015 11:00,15432
1/5/2015 12:00,16107
1/5/2015 13:00,16089
1/5/2015 14:00,17674
1/5/2015 15:00,18542
1/5/2015 16:00,16580
1/5/2015 17:00,20558
1/5/2015 18:00,25158
1/5/2015 19:00,24686
1/5/2015 20:00,21093
1/5/2015 21:00,18827
1/5/2015 22:00,15399
1/5/2015 23:00,11953
1/6/2015 0:00,7947
1/6/2015 1:00,4755
1/6/2015 2:00,3012
1/6/2015 3:00,1905
1/6/2015 4:00,1957
1/6/2015 5:00,3636
1/6/2015 6:00,10711
1/6/2015 7:00,19331
1/6/2015 8:00,23798
1/6/2015 9:00,20507
1/6/2015 10:00,16895
1/6/2015 11:00,16564
1/6/2015 12:00,17286
1/6/2015 13:00,16676
1/6/2015 14:00,18300
1/6/2015 15:00,18504
1/6/2015 16:00,16526
1/6/2015 17:00,20328
1/6/2015 18:00,25935
1/6/2015 19:00,25107
1/6/2015 20:00,23379
1/6/2015 21:00,22326
1/6/2015 22:00,18474
1/6/2015 23:00,13817
1/7/2015 0:00,8648
1/7/2015 1:00,5334
1/7/2015 2:00,3259
1/7/2015 3:00,2239
1/7/2015 4:00,2097
1/7/2015 5:00,3547
1/7/2015 6:00,10871
1/7/2015 7:00,20154
1/7/2015 8:00,25077
1/7/2015 9:00,22471
1/7/2015 10:00,18941
1/7/2015 11:00,18785
1/7/2015 12:00,19530
1/7/2015 13:00,19568
1/7/2015 14:00,20665
1/7/2015 15:00,20437
1/7/2015 16:00,18051
1/7/2015 17:00,22677
1/7/2015 18:00,28725
1/7/2015 19:00,29648
1/7/2015 20:00,27004
1/7/2015 21:00,26115
1/7/2015 22:00,23311
1/7/2015 23:00,15840
1/8/2015 0:00,9914
1/8/2015 1:00,5848
1/8/2015 2:00,3530
1/8/2015 3:00,2378
1/8/2015 4:00,2063
1/8/2015 5:00,3653
1/8/2015 6:00,11486
1/8/2015 7:00,21815
1/8/2015 8:00,26403
1/8/2015 9:00,23927
1/8/2015 10:00,20317
1/8/2015 11:00,19425
1/8/2015 12:00,20047
1/8/2015 13:00,19401
1/8/2015 14:00,21000
1/8/2015 15:00,21518
1/8/2015 16:00,17836
1/8/2015 17:00,22698
1/8/2015 18:00,28766
1/8/2015 19:00,29590
1/8/2015 20:00,27877
1/8/2015 21:00,27016
1/8/2015 22:00,25683
1/8/2015 23:00,20090
1/9/2015 0:00,13392
1/9/2015 1:00,8165
1/9/2015 2:00,5395
1/9/2015 3:00,3621
1/9/2015 4:00,2807
1/9/2015 5:00,3752
1/9/2015 6:00,10663
1/9/2015 7:00,17343
1/9/2015 8:00,18289
1/9/2015 9:00,19577
1/9/2015 10:00,18409
1/9/2015 11:00,17965
1/9/2015 12:00,18879
1/9/2015 13:00,18720
1/9/2015 14:00,20371
1/9/2015 15:00,20010
1/9/2015 16:00,17455
1/9/2015 17:00,22965
1/9/2015 18:00,29484
1/9/2015 19:00,31545
1/9/2015 20:00,28028
1/9/2015 21:00,26768
1/9/2015 22:00,27790
1/9/2015 23:00,27841
1/10/2015 0:00,25929
1/10/2015 1:00,21322
1/10/2015 2:00,17248
1/10/2015 3:00,12258
1/10/2015 4:00,7427
1/10/2015 5:00,3517
1/10/2015 6:00,4303
1/10/2015 7:00,7187
1/10/2015 8:00,10946
1/10/2015 9:00,17027
1/10/2015 10:00,20262
1/10/2015 11:00,23909
1/10/2015 12:00,26174
1/10/2015 13:00,25504
1/10/2015 14:00,24409
1/10/2015 15:00,25953
1/10/2015 16:00,23929
1/10/2015 17:00,25474
1/10/2015 18:00,30167
1/10/2015 19:00,30656
1/10/2015 20:00,29361
1/10/2015 21:00,26743
1/10/2015 22:00,29454
1/10/2015 23:00,31135
1/11/2015 0:00,28387
1/11/2015 1:00,24608
1/11/2015 2:00,20165
1/11/2015 3:00,15072
1/11/2015 4:00,8683
1/11/2015 5:00,3701
1/11/2015 6:00,3696
1/11/2015 7:00,5332
1/11/2015 8:00,8699
