VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,1/15/2015 19:05,1/15/2015 19:23,1,1.59,-8236962.87796,4975552.61748,1,N,-8234835.38104,4975627.16983,1,12.0,1.0,0.5,3.25,0.0,0.3,17.05
1,1/10/2015 20:33,1/10/2015 20:53,1,3.3,-8237825.76766,4971752.28538,1,N,-8237020.63052,4976875.03748,1,14.5,0.5,0.5,2.0,0.0,0.3,17.8
1,1/10/2015 20:33,1/10/2015 20:43,1,1.8,-8233561.43077,4983296.28063,1,N,-8232278.98682,4986477.06142,2,9.5,0.5,0.5,0.0,0.0,0.3,10.8
1,1/10/2015 20:33,1/10/2015 20:35,1,0.5,-8238653.8355,4970221.02674,1,N,-8238123.87235,4971126.97831,2,3.5,0.5,0.5,0.0,0.0,0.3,4.8
1,1/10/2015 20:33,1/10/2015 20:52,1,3.0,-8234433.6624,4977362.79068,1,N,-8238107.73547,4974456.80831,2,15.0,0.5,0.5,0.0,0.0,0.3,16.3
1,1/10/2015 20:33,1/10/2015 20:53,1,9.0,-8223657.73977,4979070.68318,1,N,-8236192.56267,4976740.4885,1,27.0,0.5,0.5,6.7,5.33,0.3,40.33
1,1/10/2015 20:33,1/10/2015 20:58,1,2.2,-8235780.65273,4972011.722,1,N,-8236804.05956,4975482.54892,2,14.0,0.5,0.5,0.0,0.0,0.3,15.3
1,1/10/2015 20:33,1/10/2015 20:42,3,0.8,-8237938.72466,4973206.44787,1,N,-8237086.87674,4972058.23068,1,7.0,0.5,0.5,1.66,0.0,0.3,9.96
1,1/10/2015 20:33,1/10/2015 20:40,2,0.9,-8236037.98999,4978174.08679,1,N,-8236074.51058,4976912.5986,1,6.5,0.5,0.5,1.55,0.0,0.3,9.35
1,1/10/2015 20:33,1/10/2015 20:41,1,0.9,-8236375.16226,4971584.74904,1,N,-8238131.51554,4972389.96146,1,7.0,0.5,0.5,1.66,0.0,0.3,9.96
1,1/10/2015 20:33,1/10/2015 20:43,1,1.1,-8236950.13856,4975744.88686,1,N,-8234014.10814,4976596.97241,1,7.5,0.5,0.5,1.0,0.0,0.3,9.8
1,1/10/2015 20:33,1/10/2015 20:35,1,0.3,-8238573.15225,4968834.52684,1,N,-8238730.27192,4969326.36084,2,3.0,0.5,0.5,0.0,0.0,0.3,4.3
1,1/10/2015 20:33,1/10/2015 21:03,1,3.1,-8234741.95839,4977071.81831,1,N,-8237346.76211,4973363.36535,1,19.0,0.5,0.5,3.0,0.0,0.3,23.3
1,1/10/2015 20:33,1/10/2015 20:39,1,1.1,-8238390.55266,4972858.9986,1,N,-8237109.80745,4974051.5875,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3
2,1/15/2015 19:05,1/15/2015 19:32,1,2.38,-8235017.98063,4974039.25639,1,N,-8235858.78788,4976695.63876,1,16.5,1.0,0.5,4.38,0.0,0.3,22.68
2,1/15/2015 19:05,1/15/2015 19:21,5,2.83,-8234158.48841,4976160.26917,1,N,-8232646.7341,4980953.85946,2,12.5,1.0,0.5,0.0,0.0,0.3,14.3
2,1/15/2015 19:05,1/15/2015 19:28,5,8.33,-8222398.22763,4978414.06823,1,N,-8232378.35505,4980795.6997,1,26.0,1.0,0.5,8.08,5.33,0.3,41.21
2,1/15/2015 19:05,1/15/2015 19:20,1,2.37,-8231580.01285,4979860.81075,1,N,-8235510.57494,4980840.00664,1,11.5,1.0,0.5,0.0,0.0,0.3,13.3
2,1/15/2015 19:05,1/15/2015 19:20,2,7.13,-8223667.0817,4979065.07525,1,N,-8232340.98621,4970921.91298,1,21.5,1.0,0.5,4.5,0.0,0.3,27.8
2,1/15/2015 19:05,1/15/2015 19:31,1,3.6,-8235037.51498,4975814.95582,1,N,-8237522.56787,4970335.31545,2,17.5,1.0,0.5,0.0,0.0,0.3,19.3
2,1/15/2015 19:05,1/15/2015 19:10,1,0.89,-8237080.93117,4974813.28318,1,N,-8237635.52376,4973280.9838,1,5.5,1.0,0.5,1.62,0.0,0.3,8.92
2,1/15/2015 19:05,1/15/2015 19:10,1,0.96,-8237746.78314,4975104.74959,1,N,-8238038.94226,4973407.63859,1,5.5,1.0,0.5,1.3,0.0,0.3,8.6
2,1/15/2015 19:05,1/15/2015 19:12,2,1.25,-8237951.46406,4970819.38193,1,N,-8238523.89226,4968811.5606,1,6.5,1.0,0.5,1.5,0.0,0.3,9.8
2,1/15/2015 19:05,1/15/2015 19:22,5,2.11,-8237359.50152,4973532.61433,1,N,-8235212.47025,4977278.69407,1,11.5,1.0,0.5,2.5,0.0,0.3,15.8
2,1/15/2015 19:05,1/15/2015 19:14,5,1.15,-8232329.94555,4986415.33192,1,N,-8232447.99764,4984517.07488,1,7.5,1.0,0.5,1.7,0.0,0.3,11.0
2,1/15/2015 19:05,1/15/2015 19:16,1,1.53,-8236654.58197,4975548.13275,1,N,-8236374.31289,4973316.28925,2,9.0,1.0,0.5,0.0,0.0,0.3,10.8
2,1/15/2015 19:05,1/15/2015 19:18,1,1.76,-8236937.39916,4974279.69753,1,N,-8237031.6723,4976670.97281,1,10.0,1.0,0.5,2.36,0.0,0.3,14.16
2,1/15/2015 19:05,1/15/2015 19:21,6,5.19,-8236004.86799,4974666.99195,1,N,-8238652.98613,4968880.46094,1,17.5,1.0,0.5,3.7,0.0,0.3,23.0
2,1/15/2015 19:05,1/15/2015 19:14,1,1.38,-8234277.39098,4980770.46177,1,N,-8232154.98916,4979163.768,1,7.5,1.0,0.5,1.7,0.0,0.3,11.0
2,1/15/2015 19:05,1/15/2015 19:17,2,2.23,-8235982.78554,4976563.33632,1,N,-8235959.00547,4979967.92348,1,10.0,1.0,0.5,2.2,0.0,0.3,14.0
2,1/15/2015 19:05,1/15/2015 19:15,1,1.56,-8233875.67234,4977323.54502,1,N,-8232081.9491,4979394.80223,1,8.0,1.0,0.5,1.8,0.0,0.3,11.6
2,1/15/2015 19:05,1/15/2015 19:15,5,1.57,-8235240.49716,4974979.19392,1,N,-8235440.08299,4972383.79768,1,8.0,1.0,0.5,1.8,0.0,0.3,11.6
